date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:12:10	93435/93435	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/1.8.2/jquery.min.js	C:/code/alikor/focus/focuscarelink/ajax.googleapis.com/ajax/libs/jquery/1.8.2/jquery.min.js	(from http://focuscarelink.co.uk/)
22:12:11	6054/6054	---M--	200	added ('OK')	text/html	date:Tue,%2013%20Jul%202021%2021:11:48%20GMT	http://focuscarelink.co.uk/page.php?id=8	C:/code/alikor/focus/focuscarelink/focuscarelink.co.uk/pagec3c9.html	(from http://focuscarelink.co.uk/page.php?id=1)
22:12:11	5195/5195	---M--	200	added ('OK')	text/html	date:Tue,%2013%20Jul%202021%2021:11:49%20GMT	http://focuscarelink.co.uk/page.php?id=10	C:/code/alikor/focus/focuscarelink/focuscarelink.co.uk/pagef41b.html	(from http://focuscarelink.co.uk/page.php?id=1)
22:12:11	5078/5078	---M--	200	added ('OK')	text/html	date:Tue,%2013%20Jul%202021%2021:11:49%20GMT	http://focuscarelink.co.uk/page.php?id=32	C:/code/alikor/focus/focuscarelink/focuscarelink.co.uk/pagedac1.html	(from http://focuscarelink.co.uk/page.php?id=1)
22:12:15	18962/18962	---M--	200	added ('OK')	image/jpeg	etag:%22ae1db251b82dd11:7490c%22	http://focuscarelink.co.uk/Uploads/ukhca%20logo.jpg	C:/code/alikor/focus/focuscarelink/focuscarelink.co.uk/Uploads/ukhca%20logo.jpg	(from http://focuscarelink.co.uk/page.php?id=1)
22:12:22	42250/42250	---M--	200	added ('OK')	image/jpeg	etag:%2211c7141fe4dcf1:7490c%22	http://focuscarelink.co.uk/Uploads/whoweare.jpg	C:/code/alikor/focus/focuscarelink/focuscarelink.co.uk/Uploads/whoweare.jpg	(from http://focuscarelink.co.uk/page.php?id=1)
22:12:23	89010/89010	---M--	200	added ('OK')	image/png	etag:%22715717adf4dcf1:7490c%22	http://focuscarelink.co.uk/layout/slides.png	C:/code/alikor/focus/focuscarelink/focuscarelink.co.uk/layout/slides.png	(from http://focuscarelink.co.uk/style.css)
22:12:26	109019/109019	---M--	200	added ('OK')	image/jpeg	etag:%22ab76c7a8f4dcf1:7490c%22	http://focuscarelink.co.uk/layout/bottom-menu.jpg	C:/code/alikor/focus/focuscarelink/focuscarelink.co.uk/layout/bottom-menu.jpg	(from http://focuscarelink.co.uk/style.css)
22:12:27	6682/6682	---M--	200	added ('OK')	text/html	date:Tue,%2013%20Jul%202021%2021:12:04%20GMT	http://focuscarelink.co.uk/page.php?id=15	C:/code/alikor/focus/focuscarelink/focuscarelink.co.uk/page7429.html	(from http://focuscarelink.co.uk/page.php?id=11)
22:12:27	7138/7138	---M--	200	added ('OK')	text/html	date:Tue,%2013%20Jul%202021%2021:12:05%20GMT	http://focuscarelink.co.uk/page.php?id=16	C:/code/alikor/focus/focuscarelink/focuscarelink.co.uk/page2728.html	(from http://focuscarelink.co.uk/page.php?id=11)
22:12:28	8030/8030	---M--	200	added ('OK')	text/html	date:Tue,%2013%20Jul%202021%2021:12:05%20GMT	http://focuscarelink.co.uk/page.php?id=27	C:/code/alikor/focus/focuscarelink/focuscarelink.co.uk/page3773.html	(from http://focuscarelink.co.uk/page.php?id=11)
22:12:28	8739/8739	---M--	200	added ('OK')	text/html	date:Tue,%2013%20Jul%202021%2021:12:05%20GMT	http://focuscarelink.co.uk/page.php?id=28	C:/code/alikor/focus/focuscarelink/focuscarelink.co.uk/page1434.html	(from http://focuscarelink.co.uk/page.php?id=11)
22:12:28	9227/9227	---M--	200	added ('OK')	text/html	date:Tue,%2013%20Jul%202021%2021:12:06%20GMT	http://focuscarelink.co.uk/page.php?id=33	C:/code/alikor/focus/focuscarelink/focuscarelink.co.uk/pageef73.html	(from http://focuscarelink.co.uk/page.php?id=11)
22:12:29	8146/8146	---M--	200	added ('OK')	text/html	date:Tue,%2013%20Jul%202021%2021:12:06%20GMT	http://focuscarelink.co.uk/page.php?id=35	C:/code/alikor/focus/focuscarelink/focuscarelink.co.uk/page40ac.html	(from http://focuscarelink.co.uk/page.php?id=11)
22:12:29	7439/7439	---M--	200	added ('OK')	text/html	date:Tue,%2013%20Jul%202021%2021:12:07%20GMT	http://focuscarelink.co.uk/page.php?id=36	C:/code/alikor/focus/focuscarelink/focuscarelink.co.uk/pagef62c.html	(from http://focuscarelink.co.uk/page.php?id=11)
